_id_transferencias,class,"data.co2","data.humidity","data.room_temp","data.surf_temp",hub,node,time
6360c82b3736f2c2b990c827,4405,488,38.68,25.18,,000FF001,65799,2022-11-01T08:18:03.263038
6360c8393736f2c2b990c828,4405,,43.5,21.4,19.33,000FF001,131334,2022-11-01T08:18:17.593816
6360c83d3736f2c2b990c829,4405,,41.3,20.9,18.81,000FF001,131332,2022-11-01T08:18:21.858116
6360c8a83736f2c2b990c82a,4405,,50.6,19.3,17.51,000FF001,65793,2022-11-01T08:20:08.462901
6360c8ca3736f2c2b990c82b,4405,,14.8,21.1,19.19,000FF001,131333,2022-11-01T08:20:42.608403
6360c9433736f2c2b990c82c,4405,,45.00,20.8,19.25,000FF001,65794,2022-11-01T08:22:43.578623
6360c9513736f2c2b990c82d,4405,,39.8,20.8,19.07,000FF001,65795,2022-11-01T08:22:57.471557
6360c9693736f2c2b990c82e,4405,,43.5,21.3,19.45,000FF001,131334,2022-11-01T08:23:21.634655
6360c96d3736f2c2b990c82f,4405,,41.3,20.9,18.81,000FF001,131332,2022-11-01T08:23:25.702423
6360c97b3736f2c2b990c830,4405,485,38.8,25.14,,000FF001,65799,2022-11-01T08:23:39.712724
6360c9d83736f2c2b990c831,4405,,50.5,19.3,17.47,000FF001,65793,2022-11-01T08:25:12.516910
6360c9f83736f2c2b990c832,4405,,14.9,21.2,19.17,000FF001,131333,2022-11-01T08:25:44.769376
6360ca713736f2c2b990c833,4405,,45.00,20.8,19.25,000FF001,65794,2022-11-01T08:27:45.658480
6360ca813736f2c2b990c834,4405,,39.7,20.9,19.09,000FF001,65795,2022-11-01T08:28:01.325164
6360ca993736f2c2b990c835,4405,,43.5,21.4,19.39,000FF001,131334,2022-11-01T08:28:25.675244
6360ca9d3736f2c2b990c836,4405,,41.4,21.00,18.85,000FF001,131332,2022-11-01T08:28:29.547560
6360cacc3736f2c2b990c837,4405,485,38.64,25.18,,000FF001,65799,2022-11-01T08:29:16.122961
6360cb083736f2c2b990c838,4405,,50.5,19.4,17.47,000FF001,65793,2022-11-01T08:30:16.575400
6360cb263736f2c2b990c839,4405,,14.9,21.2,19.19,000FF001,131333,2022-11-01T08:30:46.930725
6360cb9f3736f2c2b990c83a,4405,,44.9,20.7,19.23,000FF001,65794,2022-11-01T08:32:47.738338
6360cbb13736f2c2b990c83b,4405,,39.7,20.7,19.07,000FF001,65795,2022-11-01T08:33:05.170572
6360cbc93736f2c2b990c83c,4405,,43.5,21.4,19.33,000FF001,131334,2022-11-01T08:33:29.718951
6360cbcd3736f2c2b990c83d,4405,,41.3,21.00,18.79,000FF001,131332,2022-11-01T08:33:33.390214
6360cc1c3736f2c2b990c83e,4405,487,38.74,25.12,,000FF001,65799,2022-11-01T08:34:52.435974
6360cc383736f2c2b990c83f,4405,,50.4,19.3,17.53,000FF001,65793,2022-11-01T08:35:20.636977
6360cc553736f2c2b990c840,4405,,14.9,21.2,19.19,000FF001,131333,2022-11-01T08:35:49.090124
6360cccd3736f2c2b990c841,4405,,45.00,20.8,19.23,000FF001,65794,2022-11-01T08:37:49.819673
6360cce13736f2c2b990c842,4405,,39.8,20.9,19.03,000FF001,65795,2022-11-01T08:38:09.020052
6360ccf93736f2c2b990c843,4405,,43.6,21.3,19.39,000FF001,131334,2022-11-01T08:38:33.763166
6360ccfd3736f2c2b990c844,4405,,41.2,20.9,18.79,000FF001,131332,2022-11-01T08:38:37.233750
6360cd683736f2c2b990c845,4405,,50.4,19.4,17.53,000FF001,65793,2022-11-01T08:40:24.696169
6360cd6c3736f2c2b990c846,4405,483,38.71,25.15,,000FF001,65799,2022-11-01T08:40:28.885795
6360cd833736f2c2b990c847,4405,,14.9,21.2,19.09,000FF001,131333,2022-11-01T08:40:51.251860
6360cdfb3736f2c2b990c848,4405,,44.9,20.7,19.25,000FF001,65794,2022-11-01T08:42:51.901659
6360ce103736f2c2b990c849,4405,,39.7,20.9,19.01,000FF001,65795,2022-11-01T08:43:12.872060
6360ce293736f2c2b990c84a,4405,,43.5,21.3,19.45,000FF001,131334,2022-11-01T08:43:37.804009
6360ce2d3736f2c2b990c84b,4405,,41.3,21.00,18.87,000FF001,131332,2022-11-01T08:43:41.078461
6360ce983736f2c2b990c84c,4405,,50.2,19.4,17.53,000FF001,65793,2022-11-01T08:45:28.758538
6360ceb13736f2c2b990c84d,4405,,14.9,21.2,19.13,000FF001,131333,2022-11-01T08:45:53.411229
6360cebd3736f2c2b990c84e,4405,486,38.73,25.1,,000FF001,65799,2022-11-01T08:46:05.324392
6360cf293736f2c2b990c84f,4405,,45.00,20.8,19.19,000FF001,65794,2022-11-01T08:47:53.984315
6360cf403736f2c2b990c850,4405,,39.6,20.8,19.09,000FF001,65795,2022-11-01T08:48:16.719849
6360cf593736f2c2b990c851,4405,,43.5,21.3,19.35,000FF001,131334,2022-11-01T08:48:41.847641
6360cf5c3736f2c2b990c852,4405,,41.1,20.9,18.85,000FF001,131332,2022-11-01T08:48:44.921978
6360cfc83736f2c2b990c853,4405,,50.2,19.4,17.51,000FF001,65793,2022-11-01T08:50:32.817814
6360cfdf3736f2c2b990c854,4405,,14.9,21.2,19.17,000FF001,131333,2022-11-01T08:50:55.571661
6360d00d3736f2c2b990c855,4405,487,38.76,25.12,,000FF001,65799,2022-11-01T08:51:41.765811
6360d0583736f2c2b990c856,4405,,45.2,21.00,19.25,000FF001,65794,2022-11-01T08:52:56.063788
6360d0703736f2c2b990c857,4405,,39.7,20.9,19.07,000FF001,65795,2022-11-01T08:53:20.571729
6360d0893736f2c2b990c858,4405,,43.6,21.4,19.29,000FF001,131334,2022-11-01T08:53:45.890423
6360d08c3736f2c2b990c859,4405,,41.2,21.00,18.79,000FF001,131332,2022-11-01T08:53:48.765378
6360d0f83736f2c2b990c85a,4405,,50.1,19.4,17.53,000FF001,65793,2022-11-01T08:55:36.878077
6360d10d3736f2c2b990c85b,4405,,14.8,21.1,19.19,000FF001,131333,2022-11-01T08:55:57.731438
6360d15e3736f2c2b990c85c,4405,493,38.72,25.12,,000FF001,65799,2022-11-01T08:57:18.230528
6360d1863736f2c2b990c85d,4405,,45.1,21.00,19.23,000FF001,65794,2022-11-01T08:57:58.144832
6360d1a03736f2c2b990c85e,4405,,39.8,20.9,19.17,000FF001,65795,2022-11-01T08:58:24.423000
6360d1b93736f2c2b990c85f,4405,,43.5,21.3,19.35,000FF001,131334,2022-11-01T08:58:49.933816
6360d1bc3736f2c2b990c860,4405,,41.2,21.00,18.81,000FF001,131332,2022-11-01T08:58:52.609549
6360d2283736f2c2b990c861,4405,,50.00,19.5,17.53,000FF001,65793,2022-11-01T09:00:40.940129
