"_id_transferencias","class","data. 
co2","data. 
humidity","data. 
room_temp","data. 
surf_temp","hub","node","time"
"63615b6a3736f2c2b990cb9f","4405","","40.20","21.40","19.19","000FF001","131332","2022-11-01T18:46:18.636306"
"63615b7e3736f2c2b990cba0","4405","","42.40","21.70","19.73","000FF001","131334","2022-11-01T18:46:38.988325"
"63615b953736f2c2b990cba1","4405","","43.20","22.00","20.31","000FF001","65794","2022-11-01T18:47:01.954555"
"63615bf13736f2c2b990cba2","4405","","44.30","22.00","20.83","000FF001","65793","2022-11-01T18:48:33.135019"
"63615c543736f2c2b990cba3","4405","","13.60","21.50","19.55","000FF001","131333","2022-11-01T18:50:12.851123"
"63615c7f3736f2c2b990cba4","4405","","37.70","21.90","20.05","000FF001","65795","2022-11-01T18:50:55.026758"
"63615c9a3736f2c2b990cba5","4405","","40.20","21.40","19.17","000FF001","131332","2022-11-01T18:51:22.480961"
"63615caf3736f2c2b990cba6","4405","","42.40","21.70","19.71","000FF001","131334","2022-11-01T18:51:43.032277"
"63615cb13736f2c2b990cba7","4405","451","36.18","26.56","","000FF001","65799","2022-11-01T18:51:45.729183"
"63615cc43736f2c2b990cba8","4405","","43.20","21.90","20.31","000FF001","65794","2022-11-01T18:52:04.040172"
"63615d213736f2c2b990cba9","4405","","44.70","21.90","20.81","000FF001","65793","2022-11-01T18:53:37.209904"
"63615d833736f2c2b990cbaa","4405","","13.60","21.50","19.41","000FF001","131333","2022-11-01T18:55:15.012899"
"63615dae3736f2c2b990cbab","4405","","37.80","21.90","20.01","000FF001","65795","2022-11-01T18:55:58.876835"
"63615dca3736f2c2b990cbac","4405","","40.10","21.30","19.13","000FF001","131332","2022-11-01T18:56:26.327525"
"63615ddf3736f2c2b990cbad","4405","","42.40","21.70","19.63","000FF001","131334","2022-11-01T18:56:47.075161"
"63615df23736f2c2b990cbae","4405","","43.30","21.90","20.21","000FF001","65794","2022-11-01T18:57:06.127147"
"63615e023736f2c2b990cbaf","4405","448","36.15","26.58","","000FF001","65799","2022-11-01T18:57:22.105319"
"63615e513736f2c2b990cbb0","4405","","44.80","21.80","20.67","000FF001","65793","2022-11-01T18:58:41.281150"
