"_id_transferencias","class","data.co2","data.humidity","data.room_temp","data.surf_temp","hub","node","time","","","","",""
"636111cf3736f2c2b990c9d3","4405","457","37.71","25.56","","000FF001","65799","2022-11-01T13:32:15.745259","","","","",""
"636111d43736f2c2b990c9d4","4405","","40.10","21.60","19.33","000FF001","131332","2022-11-01T13:32:20.226670","","","","",""
"636111dc3736f2c2b990c9d5","4405","","42.50","21.90","19.83","000FF001","131334","2022-11-01T13:32:28.257739","","","","",""
"636111f83736f2c2b990c9d6","4405","","13.20","22.00","19.71","000FF001","131333","2022-11-01T13:32:56.619584","","","","",""
"6361124c3736f2c2b990c9d7","4405","","42.30","23.70","18.47","000FF001","65793","2022-11-01T13:34:20.468414","","","","",""
"6361126c3736f2c2b990c9d8","4405","","44.30","21.20","19.51","000FF001","65794","2022-11-01T13:34:52.640285","","","","",""
"636112e83736f2c2b990c9d9","4405","","37.40","21.70","20.09","000FF001","65795","2022-11-01T13:36:56.224994","","","","",""
"636113043736f2c2b990c9da","4405","","40.10","21.60","19.29","000FF001","131332","2022-11-01T13:37:24.072635","","","","",""
"6361130c3736f2c2b990c9db","4405","","42.50","21.90","19.79","000FF001","131334","2022-11-01T13:37:32.302916","","","","",""
"636113203736f2c2b990c9dc","4405","452","37.68","25.58","","000FF001","65799","2022-11-01T13:37:52.286477","","","","",""
"636113263736f2c2b990c9dd","4405","","13.10","22.00","19.61","000FF001","131333","2022-11-01T13:37:58.781092","","","","",""
"6361137c3736f2c2b990c9de","4405","","43.60","23.00","18.41","000FF001","65793","2022-11-01T13:39:24.528532","","","","",""
"6361139a3736f2c2b990c9df","4405","","44.30","21.20","19.47","000FF001","65794","2022-11-01T13:39:54.715523","","","","",""
"636114183736f2c2b990c9e0","4405","","37.50","22.00","19.99","000FF001","65795","2022-11-01T13:42:00.069725","","","","",""
"636114333736f2c2b990c9e1","4405","","40.00","21.70","19.35","000FF001","131332","2022-11-01T13:42:27.917137","","","","",""
"6361143c3736f2c2b990c9e2","4405","","42.50","21.90","19.79","000FF001","131334","2022-11-01T13:42:36.347196","","","","",""
"636114543736f2c2b990c9e3","4405","","13.10","22.00","19.71","000FF001","131333","2022-11-01T13:43:00.944189","","","","",""
"636114703736f2c2b990c9e4","4405","454","37.66","25.53","","000FF001","65799","2022-11-01T13:43:28.933358","","","","",""
"636114ac3736f2c2b990c9e5","4405","","44.00","22.60","18.41","000FF001","65793","2022-11-01T13:44:28.598542","","","","",""
"636114c83736f2c2b990c9e6","4405","","44.20","21.20","19.47","000FF001","65794","2022-11-01T13:44:56.798789","","","","",""
"636115473736f2c2b990c9e7","4405","","37.40","22.20","20.05","000FF001","65795","2022-11-01T13:47:03.923044","","","","",""
"636115633736f2c2b990c9e8","4405","","40.00","21.70","19.35","000FF001","131332","2022-11-01T13:47:31.762901","","","","",""
"6361156c3736f2c2b990c9e9","4405","","42.40","21.90","19.79","000FF001","131334","2022-11-01T13:47:40.390931","","","","",""
"636115833736f2c2b990c9ea","4405","","13.10","22.00","19.67","000FF001","131333","2022-11-01T13:48:03.105600","","","","",""
"636115c13736f2c2b990c9eb","4405","452","37.75","25.50","","000FF001","65799","2022-11-01T13:49:05.563136","","","","",""
"636115dc3736f2c2b990c9ec","4405","","45.00","22.50","18.41","000FF001","65793","2022-11-01T13:49:32.671034","","","","",""
"636115f63736f2c2b990c9ed","4405","","44.30","21.20","19.51","000FF001","65794","2022-11-01T13:49:58.882007","","","","",""
"636116773736f2c2b990c9ee","4405","","37.40","21.90","20.09","000FF001","65795","2022-11-01T13:52:07.776329","","","","",""
"636116933736f2c2b990c9ef","4405","","40.00","21.70","19.29","000FF001","131332","2022-11-01T13:52:35.607533","","","","",""
"6361169c3736f2c2b990c9f0","4405","","42.50","22.00","19.79","000FF001","131334","2022-11-01T13:52:44.433283","","","","",""
"636116b13736f2c2b990c9f1","4405","","13.10","22.00","19.73","000FF001","131333","2022-11-01T13:53:05.269839","","","","",""
"6361170c3736f2c2b990c9f2","4405","","44.80","22.50","18.41","000FF001","65793","2022-11-01T13:54:36.739257","","","","",""
"636117123736f2c2b990c9f3","4405","455","37.75","25.55","","000FF001","65799","2022-11-01T13:54:42.185992","","","","",""
"636117243736f2c2b990c9f4","4405","","44.40","21.30","19.47","000FF001","65794","2022-11-01T13:55:00.964133","","","","",""
"636117a73736f2c2b990c9f5","4405","","37.50","21.90","20.09","000FF001","65795","2022-11-01T13:57:11.624277","","","","",""
"636117c33736f2c2b990c9f6","4405","","40.00","21.70","19.33","000FF001","131332","2022-11-01T13:57:39.452128","","","","",""
"636117cc3736f2c2b990c9f7","4405","","42.50","22.00","19.87","000FF001","131334","2022-11-01T13:57:48.478108","","","","",""
"636117df3736f2c2b990c9f8","4405","","13.20","22.00","19.67","000FF001","131333","2022-11-01T13:58:07.432789","","","","",""
"6361183c3736f2c2b990c9f9","4405","","42.10","24.10","18.43","000FF001","65793","2022-11-01T13:59:40.818808","","","","",""
"636118533736f2c2b990c9fa","4405","","44.20","21.20","19.45","000FF001","65794","2022-11-01T14:00:03.046031","","","","",""
"636118623736f2c2b990c9fb","4405","455","37.55","25.62","","000FF001","65799","2022-11-01T14:00:18.807664","","","","",""
